alpha0,alpha1,alpha2,alpha3,Cx0Mean,Cy0Mean,Cm0Mean, Cx1Mean,Cy1Mean,Cm1Mean, Cx2Mean,Cy2Mean,Cm2Mean, Cx3Mean,Cy3Mean,Cm3Mean,Flag,,,SumCx,SumCy
5,-10,-8,-20,1.80268,1.115876,-0.350802,1.511386,1.33573,-0.298792,2.341677,2.1468,-0.507766,0.860567,1.363117,-0.33807,NOTCONVERGED,,,6.51631,5.961523
-5,-8,-8,-20,0.726011,0.77422,-0.265469,1.54085,1.332668,-0.310352,2.716426,2.330901,-0.525657,0.771962,1.328396,-0.363065,NOTCONVERGED,,,5.755249,5.766185
-3,-8,-8,-20,0.793201,0.758685,-0.25557,1.532171,1.326799,-0.309355,2.621069,2.270206,-0.518706,0.775467,1.331035,-0.362108,NOTCONVERGED,,,5.721908,5.686725
-1,-8,-8,-20,2.201517,1.358406,-0.363704,1.446669,1.150024,-0.257623,2.420694,2.244785,-0.531748,1.796058,2.127983,-0.389002,NOTCONVERGED,,,7.864938,6.881198
1,-8,-8,-20,2.137567,1.305231,-0.368495,1.448952,1.148395,-0.256821,2.427816,2.241865,-0.531051,1.805728,2.13238,-0.38942,NOTCONVERGED,,,7.820063,6.827871
3,-8,-8,-20,2.0205,1.22948,-0.365994,1.465474,1.167494,-0.262089,2.422356,2.225345,-0.526772,1.73059,2.06253,-0.376289,NOTCONVERGED,,,7.63892,6.684849
5,-8,-8,-20,1.903348,1.150239,-0.362282,1.474075,1.16974,-0.262399,2.435135,2.220902,-0.52564,1.734642,2.059215,-0.374973,NOTCONVERGED,,,7.5472,6.600096
-5,-6,-8,-20,0.721964,0.769811,-0.263511,1.451588,1.250754,-0.305928,2.701642,2.319592,-0.523489,0.766493,1.324171,-0.364462,NOTCONVERGED,,,5.641687,5.664328
-3,-6,-8,-20,0.789838,0.755239,-0.253907,1.443751,1.244976,-0.304841,2.606319,2.259033,-0.516448,0.772208,1.329197,-0.364233,NOTCONVERGED,,,5.612116,5.588445
-1,-6,-8,-20,2.190242,1.355168,-0.362639,1.403551,1.109145,-0.261241,2.408794,2.235725,-0.529638,1.773111,2.099628,-0.383688,NOTCONVERGED,,,7.775698,6.799666
1,-6,-8,-20,2.114836,1.298798,-0.366538,1.408415,1.117007,-0.263659,2.405597,2.224852,-0.526994,1.726629,2.054484,-0.375092,NOTCONVERGED,,,7.655477,6.695141
3,-6,-8,-20,1.986077,1.218768,-0.362558,1.411381,1.13782,-0.270806,2.390018,2.20049,-0.520883,1.570796,1.907803,-0.350237,NOTCONVERGED,,,7.358272,6.464881
5,-6,-8,-20,1.86772,1.138648,-0.358444,1.422603,1.142502,-0.271689,2.402447,2.195522,-0.519507,1.571806,1.9037,-0.349274,NOTCONVERGED,,,7.264576,6.380372
-5,-4,-8,-20,0.719609,0.765639,-0.26151,1.350156,1.160388,-0.298987,2.683415,2.305738,-0.520905,0.759079,1.319321,-0.36644,NOTCONVERGED,,,5.512259,5.551086
-3,-4,-8,-20,0.788785,0.752409,-0.252066,1.3433,1.155079,-0.297951,2.587728,2.244648,-0.513372,0.767159,1.325981,-0.366359,NOTCONVERGED,,,5.486972,5.478117
-1,-4,-8,-20,2.069521,1.320273,-0.351929,1.22813,1.084271,-0.282422,2.278634,2.132265,-0.50493,0.839487,1.344222,-0.341447,NOTCONVERGED,,,6.415772,5.881031
1,-4,-8,-20,2.073065,1.285732,-0.362213,1.318878,1.065885,-0.267331,2.365916,2.193356,-0.519282,1.536065,1.866644,-0.344231,NOTCONVERGED,,,7.293924,6.411617
3,-4,-8,-20,1.935375,1.200479,-0.356394,1.303188,1.083858,-0.275283,2.347604,2.165533,-0.51257,1.260367,1.613707,-0.318185,NOTCONVERGED,,,6.846534,6.063577
5,-4,-8,-20,1.816724,1.119761,-0.352051,1.312803,1.088552,-0.27623,2.35855,2.159323,-0.510805,1.255078,1.611741,-0.32104,NOTCONVERGED,,,6.743155,5.979377
-5,-2,-8,-20,0.715109,0.760538,-0.259168,1.240817,1.065204,-0.29068,2.665009,2.291367,-0.518032,0.745719,1.313448,-0.369864,NOTCONVERGED,,,5.366654,5.430557
