#nWings;aws;awa;alpha0;alpha1;alpha2;alpha3;center0;center1;center2;center3;backgroundMesh;profileMesh0;profileMesh1;profileMesh2;profileMesh3;targetMesh;targetCase;Account;cores;walltime;DirName;jobNameID;Cx0Mean;Cx0Var;Cy0Mean;Cy0Var;Cm0Mean;Cm0Var; Cx1Mean;Cx1Var;Cy1Mean;Cy1Var;Cm1Mean;Cm1Var; Cx2Mean;Cx2Var;Cy2Mean;Cy2Var;Cm2Mean;Cm2Var; Cx3Mean;Cx3Var;Cy3Mean;Cy3Var;Cm3Mean;Cm3Var;;;;Total ;1284
4;7.7;51.3;-1;-4;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID20;Case3_Run0to250_ID20;2.054601;0.000238;1.29497;0.000293;-0.343423;0.000134;1.218718;0.000451;1.078205;0.000731;-0.281076;0.000339;2.407014;0.000536;2.261076;0.000558;-0.507453;0.000254;0.840829;0.006364;1.341465;0.018224;-0.338557;0.007546;NOTCONVERGED;;;;
4;7.7;51.3;1;-4;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID21;Case3_Run0to250_ID21;2.092482;0.0031;1.272049;0.000886;-0.357213;0.000303;1.324158;0.001271;1.047868;0.001264;-0.260437;0.000558;2.524709;0.003619;2.346026;0.00263;-0.527149;0.0006;1.713107;0.016158;2.034617;0.014688;-0.371952;0.002653;NOTCONVERGED;;;;
4;7.7;51.3;3;-4;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID22;Case3_Run0to250_ID22;1.980842;0.004126;1.199795;0.001152;-0.355423;0.000349;1.326208;0.002476;1.05806;0.001996;-0.264069;0.000891;2.51664;0.004405;2.327356;0.003668;-0.522968;0.000973;1.629542;0.028477;1.955645;0.026201;-0.358255;0.004374;NOTCONVERGED;;;;
4;7.7;51.3;5;-4;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID23;Case3_Run0to250_ID23;1.831482;0.002055;1.111207;0.000687;-0.347947;0.000241;1.314313;0.001533;1.077524;0.000917;-0.272121;0.000475;2.493719;0.002026;2.293866;0.001801;-0.515234;0.000484;1.37594;0.01855;1.717181;0.017064;-0.326173;0.001595;NOTCONVERGED;;;;
4;7.7;51.3;-5;-2;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID24;Case3_Run0to250_ID24;0.691794;0.000687;0.740577;0.000899;-0.254017;0.000378;1.232697;0.00034;1.059402;0.001233;-0.289158;0.000622;2.829177;0.00105;2.437308;0.001305;-0.518886;0.000555;0.75024;0.011282;1.312965;0.022493;-0.367868;0.007286;NOTCONVERGED;;;;
4;7.7;51.3;-3;-2;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID25;Case3_Run0to250_ID25;0.750769;0.000477;0.72315;0.000574;-0.244174;0.000245;1.227576;0.00038;1.055127;0.001187;-0.288186;0.000602;2.730513;0.000879;2.374184;0.001296;-0.512898;0.000553;0.759236;0.010964;1.318199;0.022222;-0.366873;0.007345;NOTCONVERGED;;;;
4;7.7;51.3;-1;-2;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID26;Case3_Run0to250_ID26;2.035545;0.000307;1.287838;0.000471;-0.341252;0.000251;1.112066;0.000537;0.985338;0.000903;-0.272801;0.000433;2.391626;0.000493;2.247476;0.000627;-0.504491;0.000279;0.808991;0.007826;1.325521;0.020982;-0.34512;0.008534;NOTCONVERGED;;;;
4;7.7;51.3;1;-2;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID27;Case3_Run0to250_ID27;2.035413;0.002675;1.254625;0.000932;-0.351544;0.000339;1.204103;0.002528;0.987581;0.000417;-0.263672;0.000373;2.467932;0.002579;2.301271;0.002093;-0.516999;0.00052;1.399815;0.018834;1.734868;0.016561;-0.327973;0.00165;NOTCONVERGED;;;;
4;7.7;51.3;3;-2;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID28;Case3_Run0to250_ID28;1.917495;0.000219;1.177933;0.000301;-0.348148;0.000169;1.194555;0.00048;0.99475;0.000344;-0.267458;0.000156;2.459561;0.000557;2.280462;0.000552;-0.512212;0.000203;1.240057;0.005251;1.595887;0.008067;-0.319696;0.00231;NOTCONVERGED;;;;
4;7.7;51.3;5;-2;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID29;Case3_Run0to250_ID29;1.741383;0.00063;1.077496;0.00047;-0.336792;0.000212;1.1384;0.000749;0.999573;0.000963;-0.275708;0.000448;2.414148;0.000469;2.226196;0.00061;-0.499566;0.00021;0.796542;0.008604;1.32464;0.021268;-0.351088;0.00832;NOTCONVERGED;;;;
